"goal","dimension","region_id","score"
"FP","pressures",9,
"FP","pressures",10,
"FP","pressures",11,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","resilience",5,
"FP","resilience",6,
"FP","resilience",7,
"FP","resilience",8,
"FP","resilience",9,
"FP","resilience",10,
"FP","resilience",11,
"FP","score",0,14.01
"FP","score",1,4.68
"FP","score",2,0.01
"FP","score",3,0.01
"FP","score",4,3.74
"FP","score",5,8.46
"FP","score",6,5.63
"FP","score",7,1.54
"FP","score",8,1.88
"FP","score",9,15.21
"FP","score",10,22.99
"FP","score",11,17.16
"FP","status",0,12.66
"FP","status",1,4.25
"FP","status",2,0.01
"FP","status",3,0
"FP","status",4,3.39
"FP","status",5,7.68
"FP","status",6,5.11
"FP","status",7,1.39
"FP","status",8,1.7
"FP","status",9,15.21
"FP","status",10,20.8
"FP","status",11,15.27
"FP","trend",1,0
"FP","trend",2,0
"FP","trend",3,0
"FP","trend",4,0
"FP","trend",5,0
"FP","trend",6,0
"FP","trend",7,0
"FP","trend",8,0
"FP","trend",9,0
"FP","trend",10,0.01
"FP","trend",11,0.02
"HAB","future",0,100
"HAB","future",1,100
"HAB","future",2,100
"HAB","future",3,100
"HAB","future",4,100
"HAB","future",5,100
"HAB","future",6,100
"HAB","future",7,100
"HAB","future",8,100
"HAB","future",9,100
"HAB","future",10,100
"HAB","future",11,100
"HAB","pressures",1,11.51
"HAB","pressures",2,11.5
"HAB","pressures",3,11.51
"HAB","pressures",4,11.55
"HAB","pressures",5,11.5
"HAB","pressures",6,11.52
"HAB","pressures",7,11.5
"HAB","pressures",8,11.5
"HAB","pressures",9,11.5
"HAB","pressures",10,11.5
"HAB","pressures",11,11.5
"HAB","resilience",1,78.51
"HAB","resilience",2,78.51
"HAB","resilience",3,78.51
"HAB","resilience",4,78.51
"HAB","resilience",5,78.51
"HAB","resilience",6,78.51
"HAB","resilience",7,78.51
"HAB","resilience",8,78.51
"HAB","resilience",9,78.51
"HAB","resilience",10,78.51
"HAB","resilience",11,78.51
"HAB","score",0,92.72
"HAB","score",1,92.72
"HAB","score",2,92.72
"HAB","score",3,92.72
"HAB","score",4,92.72
"HAB","score",5,92.72
"HAB","score",6,92.72
"HAB","score",7,92.72
"HAB","score",8,92.72
"HAB","score",9,92.72
"HAB","score",10,92.72
"HAB","score",11,92.72
"HAB","status",0,85.43
"HAB","status",1,85.43
"HAB","status",2,85.43
"HAB","status",3,85.43
"HAB","status",4,85.43
"HAB","status",5,85.43
"HAB","status",6,85.43
"HAB","status",7,85.43
"HAB","status",8,85.43
"HAB","status",9,85.43
"HAB","status",10,85.43
"HAB","status",11,85.43
"HAB","trend",1,0
"HAB","trend",2,0
"HAB","trend",3,0
"HAB","trend",4,0
"HAB","trend",5,0
"HAB","trend",6,0
"HAB","trend",7,0
"HAB","trend",8,0
"HAB","trend",9,0
"HAB","trend",10,0
"HAB","trend",11,0
"ICO","future",0,76.72
"ICO","future",1,76.71
"ICO","future",2,76.72
"ICO","future",3,76.72
"ICO","future",4,76.7
"ICO","future",5,76.72
"ICO","future",6,76.71
"ICO","future",7,76.72
"ICO","future",8,76.72
"ICO","future",9,76.72
"ICO","future",10,76.72
"ICO","future",11,76.72
"ICO","pressures",1,14.1
"ICO","pressures",2,14.07
"ICO","pressures",3,14.08
"ICO","pressures",4,14.18
"ICO","pressures",5,14.08
"ICO","pressures",6,14.11
"ICO","pressures",7,14.07
"ICO","pressures",8,14.07
"ICO","pressures",9,14.07
"ICO","pressures",10,14.07
"ICO","pressures",11,14.07
"ICO","resilience",1,77.6
"ICO","resilience",2,77.6
"ICO","resilience",3,77.6
"ICO","resilience",4,77.6
"ICO","resilience",5,77.6
"ICO","resilience",6,77.6
"ICO","resilience",7,77.6
"ICO","resilience",8,77.6
"ICO","resilience",9,77.6
"ICO","resilience",10,77.6
"ICO","resilience",11,77.6
"ICO","score",0,71.93
"ICO","score",1,71.93
"ICO","score",2,71.93
"ICO","score",3,71.93
"ICO","score",4,71.92
"ICO","score",5,71.93
"ICO","score",6,71.93
"ICO","score",7,71.93
"ICO","score",8,71.93
"ICO","score",9,71.93
"ICO","score",10,71.93
"ICO","score",11,71.93
"ICO","status",0,67.14
"ICO","status",1,67.14
"ICO","status",2,67.14
"ICO","status",3,67.14
"ICO","status",4,67.14
"ICO","status",5,67.14
"ICO","status",6,67.14
"ICO","status",7,67.14
"ICO","status",8,67.14
"ICO","status",9,67.14
"ICO","status",10,67.14
"ICO","status",11,67.14
"ICO","trend",1,-0.1
"ICO","trend",2,-0.1
"ICO","trend",3,-0.1
"ICO","trend",4,-0.1
"ICO","trend",5,-0.1
"ICO","trend",6,-0.1
"ICO","trend",7,-0.1
"ICO","trend",8,-0.1
"ICO","trend",9,-0.1
"ICO","trend",10,-0.1
"ICO","trend",11,-0.1
"Index","future",0,74.74
"Index","future",1,76.11
"Index","future",2,76.08
"Index","future",3,76.06
"Index","future",4,75.91
"Index","future",5,75.84
"Index","future",6,75.58
"Index","future",7,76.13
"Index","future",8,76.29
"Index","future",9,77.63
"Index","future",10,72.63
"Index","future",11,77.04
"Index","score",0,70.78
"Index","score",1,72.19
"Index","score",2,72.15
"Index","score",3,72.13
"Index","score",4,72.01
"Index","score",5,71.96
"Index","score",6,71.72
"Index","score",7,72.2
"Index","score",8,72.34
"Index","score",9,73.69
"Index","score",10,68.63
"Index","score",11,73.02
"LE","future",0,100
"LE","future",1,100
"LE","future",2,100
"LE","future",3,100
"LE","future",4,100
"LE","future",5,100
"LE","future",6,100
"LE","future",7,100
"LE","future",8,100
"LE","future",9,100
